S.N,Open,High,Low,Close,Change,%Change,Turnover,Date
,,,,,,,,
1,"1,391.66","1,417.55","1,391.66","1,416.57",24.91,1.79,"767,796,027.80",2026-01-25
2,"1,400.74","1,400.83","1,384.46","1,391.66",-4.34,-0.31,"309,967,651.20",2026-01-22
3,"1,398.83","1,406.72","1,388.09","1,396.00",-2.25,-0.16,"418,373,842.10",2026-01-21
4,"1,384.60","1,406.50","1,383.54","1,398.26",17.15,1.24,"590,031,391.90",2026-01-20
5,"1,367.82","1,381.11","1,367.82","1,381.11",11.66,0.85,"445,825,412.00",2026-01-18
6,"1,370.14","1,375.45","1,366.23","1,369.44",-1.11,-0.08,"310,281,754.50",2026-01-14
7,"1,371.62","1,395.81","1,367.58","1,370.56",-1.94,-0.14,"319,946,778.20",2026-01-13
8,"1,380.80","1,384.57","1,370.92","1,372.50",-3.48,-0.25,"408,879,595.80",2026-01-12
9,"1,370.16","1,376.68","1,367.52","1,375.98",4.22,0.30,"350,365,563.70",2026-01-08
10,"1,374.03","1,377.87","1,368.25","1,371.75",-3.38,-0.24,"342,993,212.20",2026-01-07
11,"1,369.15","1,383.27","1,368.88","1,375.14",5.99,0.43,"635,791,966.80",2026-01-06
12,"1,360.35","1,368.79","1,358.56","1,369.15",9.21,0.67,"398,168,793.90",2026-01-05
13,"1,361.67","1,368.53","1,354.57","1,359.93",-1.93,-0.14,"494,480,047.10",2026-01-04
14,"1,371.11","1,375.07","1,357.22","1,361.87",-8.75,-0.63,"290,129,474.90",2026-01-01
