S.N,Open,High,Low,Close,Change,%Change,Turnover,Date
,,,,,,,,
1,"3,499.41","3,591.69","3,496.44","3,591.43",95.99,2.74,"6,468,522,379.60",2026-01-25
2,"3,468.66","3,496.91","3,454.54","3,495.44",30.13,0.86,"4,036,721,313.90",2026-01-22
3,"3,473.99","3,494.18","3,447.86","3,465.31",-1.15,-0.03,"4,296,040,749.10",2026-01-21
4,"3,407.94","3,483.42","3,406.81","3,466.47",60.60,1.77,"5,190,818,824.60",2026-01-20
5,"3,381.99","3,413.09","3,378.25","3,405.86",23.76,0.70,"2,948,360,160.40",2026-01-18
6,"3,378.88","3,398.25","3,368.13","3,382.09",2.59,0.07,"2,943,946,897.72",2026-01-14
7,"3,340.87","3,379.61","3,335.84","3,379.49",34.24,1.02,"3,491,748,383.20",2026-01-13
8,"3,356.88","3,359.28","3,323.77","3,345.25",-3.80,-0.11,"2,396,095,839.20",2026-01-12
9,"3,337.08","3,350.33","3,321.15","3,349.06",10.70,0.32,"2,197,966,847.40",2026-01-08
10,"3,368.70","3,370.11","3,324.85","3,338.35",-26.80,-0.79,"1,847,726,902.18",2026-01-07
11,"3,355.06","3,386.39","3,353.05","3,365.15",4.76,0.14,"2,691,937,986.30",2026-01-06
12,"3,311.03","3,360.75","3,307.36","3,360.38",47.81,1.44,"2,354,401,047.00",2026-01-05
13,"3,324.24","3,324.66","3,304.06","3,312.57",-16.57,-0.49,"1,659,679,677.70",2026-01-04
14,"3,334.08","3,345.91","3,318.47","3,329.15",-10.27,-0.30,"1,772,221,382.50",2026-01-01
