S.N,Open,High,Low,Close,Change,%Change,Turnover,Date
,,,,,,,,
1,"2,716.25","2,772.22","2,715.78","2,772.17",57.55,2.12,"13,785,729,645.05",2026-01-25
2,"2,706.36","2,714.67","2,693.04","2,714.61",9.23,0.34,"9,073,978,098.78",2026-01-22
3,"2,717.70","2,728.05","2,695.10","2,705.38",-9.43,-0.34,"8,923,650,346.99",2026-01-21
4,"2,679.10","2,726.74","2,678.81","2,714.81",42.26,1.58,"11,858,421,070.67",2026-01-20
5,"2,640.54","2,672.73","2,640.13","2,672.55",31.12,1.17,"8,402,797,775.59",2026-01-18
6,"2,636.51","2,648.98","2,633.00","2,641.43",1.52,0.05,"6,209,438,906.36",2026-01-14
7,"2,633.21","2,653.66","2,631.78","2,639.91",4.90,0.18,"6,990,484,039.45",2026-01-13
8,"2,643.18","2,651.76","2,628.98","2,635.00",-5.54,-0.20,"6,472,607,801.60",2026-01-12
9,"2,633.84","2,640.56","2,627.88","2,640.54",4.59,0.17,"4,908,094,092.73",2026-01-08
10,"2,651.04","2,654.62","2,630.86","2,635.94",-13.35,-0.50,"5,175,091,991.59",2026-01-07
11,"2,640.81","2,662.66","2,639.88","2,649.30",9.93,0.37,"7,123,365,296.18",2026-01-06
12,"2,610.57","2,639.56","2,609.51","2,639.37",28.73,1.10,"6,473,736,099.26",2026-01-05
13,"2,616.81","2,618.62","2,604.42","2,610.63",-10.29,-0.39,"5,017,587,294.33",2026-01-04
14,"2,634.96","2,637.10","2,613.50","2,620.92",-12.83,-0.48,"4,713,905,470.50",2026-01-01
